rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest
0.0,21.464750000000002,0.20243818616234846,POINT (724952.3050920707 5415671.872917688),2024-01-10 22:51:10.000,,,,,,,,,,,,0,
1.0,21.441200000000002,1.0644781308729594,POINT (724951.9014829996 5415672.631014791),2024-01-10 22:51:08.500,-41.3791164214844,-72.31007637219699,18.621302,0.019864356,824704.56,1.0,6.306079e-05,4.0,0.0,21.441200000000002,1.0644781308729594,1,17.934095143023676
2.0,21.4149,1.9189103100611127,POINT (724951.5228346109 5415673.395437183),2024-01-10 22:51:07.500,-41.379145317724245,-72.31023369864738,21.335087,1.590326,42460200.0,4.0,9.247505e-05,0.0,0.0,21.4149,1.9189103100611127,2,31.119937948868547
3.0,21.418766666666667,3.0184722832843516,POINT (724951.12792749 5415674.421233763),2024-01-10 22:51:06.000,,,,,,,,,,,,3,
4.0,21.36005,4.106500283887696,POINT (724950.72042352 5415675.429515748),2024-01-10 22:51:05.500,,,,,,,,,,,,4,
5.0,21.37495,5.012842631008542,POINT (724950.411219529 5415676.281155884),2024-01-10 22:51:04.500,,,,,,,,,,,,5,
6.0,21.38035,5.911505784649561,POINT (724950.0918850594 5415677.121070528),2024-01-10 22:51:03.000,,,,,,,,,,,,6,
7.0,21.38725,6.82007784549741,POINT (724949.7695856227 5415677.970338872),2024-01-10 22:51:02.000,,,,,,,,,,,,7,
8.0,21.375266666666665,7.969623891119041,POINT (724949.3638936989 5415679.045711274),2024-01-10 22:51:01.000,,,,,,,,,,,,8,
9.0,21.4202,9.145997263366556,POINT (724948.9438542109 5415680.144528981),2024-01-10 22:51:00.000,,,,,,,,,,,,9,
10.0,21.3899,10.087928017244916,POINT (724948.5916134687 5415681.018035628),2024-01-10 22:50:58.500,,,,,,,,,,,,10,
11.0,21.401699999999998,11.053853209029459,POINT (724948.2312347535 5415681.914022919),2024-01-10 22:50:57.500,,,,,,,,,,,,11,
14.0,21.37955,14.076061074397778,POINT (724947.0056736851 5415684.6760868635),2024-01-10 22:50:54.500,,,,,,,,,,,,14,
15.0,21.395699999999998,15.093117209045563,POINT (724946.612865203 5415685.613523714),2024-01-10 22:50:53.500,,,,,,,,,,,,15,
16.0,21.404899999999998,16.077698652682912,POINT (724946.283236408 5415686.541280238),2024-01-10 22:50:53.000,,,,,,,,,,,,16,
