rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest
0.0,56.6,0.0717496601745525,POINT (712031.830172744 5432901.325732205),2023-12-30 09:35:28.500,,,,,,,,,,,,0,
1.0,56.5557,0.9085281014129616,POINT (712031.3875520481 5432901.867146291),2023-12-30 09:35:26.500,,,,,,,,,,,,1,
2.0,56.5484,1.99122972801822,POINT (712030.9119226818 5432902.839580653),2023-12-30 09:35:26.000,,,,,,,,,,,,2,
3.0,56.5922,2.8541340688048873,POINT (712030.5301345473 5432903.613429296),2023-12-30 09:35:26.000,,,,,,,,,,,,3,
4.0,56.634,3.7064136293048042,POINT (712030.0738328502 5432904.3332690075),2023-12-30 09:35:25.000,-41.227366342810996,-72.47005959645821,56.463196,0.11155484,2026117.4,6.0,0.0016284261,8388609.0,0.0,56.634,3.7064136293048042,4,21.631728242710327
5.0,56.6025,4.681102628536739,POINT (712029.5068657522 5432905.126091153),2023-12-30 09:35:25.000,,,,,,,,,,,,5,
6.0,56.6409,5.736268330509276,POINT (712028.7849498594 5432905.895644337),2023-12-30 09:35:24.000,,,,,,,,,,,,6,
7.0,56.6375,6.78837380207545,POINT (712028.0676996049 5432906.665370259),2023-12-30 09:35:23.000,,,,,,,,,,,,7,
8.0,56.6435,7.987868274997864,POINT (712027.1513255723 5432907.439350636),2023-12-30 09:35:23.000,,,,,,,,,,,,8,
9.0,56.7161,9.091744491763272,POINT (712026.3115783752 5432908.155847214),2023-12-30 09:35:22.000,,,,,,,,,,,,9,
10.0,56.6827,10.271720934798624,POINT (712025.3547904275 5432908.846427571),2023-12-30 09:35:22.000,,,,,,,,,,,,10,
11.0,56.617,11.46948357278805,POINT (712024.3536971677 5432909.50403507),2023-12-30 09:35:21.000,-41.22765095537632,-72.47055138377817,62.148815,-0.04419047,293607.66,1.0,0.0035243635,8388612.0,0.0,56.617,11.46948357278805,11,29.986660030641296
13.0,56.6688,12.705078958091487,POINT (712023.3970056607 5432910.285979643),2023-12-30 09:35:21.000,,,,,,,,,,,,12,
14.0,56.6552,13.93199502692758,POINT (712022.484780725 5432911.106448233),2023-12-30 09:35:21.000,,,,,,,,,,,,13,
15.0,56.7054,15.123111198572843,POINT (712021.5824927252 5432911.884030447),2023-12-30 09:35:20.000,,,,,,,,,,,,14,
16.0,56.7383,16.326136738281967,POINT (712020.6744829243 5432912.673200043),2023-12-30 09:35:20.000,-41.22717091049057,-72.4701407510654,197.30766,0.084534496,613865.0,1.0,0.04521051,8388612.0,0.0,56.7383,16.326136738281967,15,33.16020559046325
18.0,56.7289,17.526969371413887,POINT (712019.7528591405 5432913.443010808),2023-12-30 09:35:19.000,,,,,,,,,,,,16,
19.0,56.7078,18.78887213103812,POINT (712018.7315947281 5432914.184237882),2023-12-30 09:35:18.000,,,,,,,,,,,,17,
20.0,56.7604,20.06786221861872,POINT (712017.6869292917 5432914.922133382),2023-12-30 09:35:18.000,,,,,,,,,,,,18,
21.0,56.7464,21.454303138734744,POINT (712016.5436410327 5432915.706423113),2023-12-30 09:35:17.000,,,,,,,,,,,,19,
23.0,56.7888,22.82933448527575,POINT (712015.4211478401 5432916.500602083),2023-12-30 09:35:17.000,,,,,,,,,,,,20,
24.0,56.8405,24.04735865527833,POINT (712014.4306330272 5432917.209448529),2023-12-30 09:35:17.000,,,,,,,,,,,,21,
25.0,56.9228,25.248110368502903,POINT (712013.4683552568 5432917.927658923),2023-12-30 09:35:16.000,,,,,,,,,,,,22,
26.0,56.9164,26.35318204395265,POINT (712012.5440485862 5432918.533332586),2023-12-30 09:35:16.000,-41.227449671459375,-72.47056017090836,68.86294,-0.03777291,281617.3,1.0,0.007898638,8388612.0,0.0,56.9164,26.35318204395265,23,12.31662241134796
27.0,56.9424,27.393136562151767,POINT (712011.6953432435 5432919.134335616),2023-12-30 09:35:15.000,,,,,,,,,,,,24,
28.0,56.9871,28.428985706710215,POINT (712010.8500675234 5432919.73307797),2023-12-30 09:35:15.000,,,,,,,,,,,,25,
29.0,56.936,29.45816346661947,POINT (712009.9756642389 5432920.275872367),2023-12-30 09:35:14.000,,,,,,,,,,,,26,
30.0,56.9352,30.45519463420471,POINT (712009.1628590452 5432920.8532967055),2023-12-30 09:35:13.000,,,,,,,,,,,,27,
31.0,56.9695,31.484807766050167,POINT (712008.287013562 5432921.394589501),2023-12-30 09:35:13.000,,,,,,,,,,,,28,
33.0,56.9765,33.001734758160424,POINT (712006.9521748605 5432922.11515728),2023-12-30 09:35:12.000,-41.22701466248245,-72.47035440019806,56.90482,0.3360835,3759459.0,3.0,0.0013265932,8388608.0,0.0,56.9765,33.001734758160424,29,38.140979812755546
35.0,57.0134,34.501295285118154,POINT (712005.6297560905 5432922.822090277),2023-12-30 09:35:12.000,,,,,,,,,,,,30,
36.0,57.016,35.56467555620158,POINT (712004.6862478378 5432923.312569409),2023-12-30 09:35:11.000,,,,,,,,,,,,31,
37.0,56.9927,36.618903369411804,POINT (712003.7589048813 5432923.813998689),2023-12-30 09:35:11.000,,,,,,,,,,,,32,
38.0,57.0374,37.67028091027555,POINT (712002.8694030757 5432924.374517441),2023-12-30 09:35:10.000,,,,,,,,,,,,33,
39.0,56.9756,38.73443198693401,POINT (712001.9316179326 5432924.877485173),2023-12-30 09:35:09.000,,,,,,,,,,,,34,
40.0,57.0157,39.78604882408736,POINT (712001.0171449373 5432925.3967511095),2023-12-30 09:35:09.000,,,,,,,,,,,,35,
41.0,57.0232,40.898010528418105,POINT (712000.0213276129 5432925.891530544),2023-12-30 09:35:08.000,,,,,,,,,,,,36,
42.0,57.021,42.00668015047432,POINT (711999.0056342013 5432926.335957393),2023-12-30 09:35:08.000,,,,,,,,,,,,37,
43.0,57.0128,43.12110570667164,POINT (711997.9861439895 5432926.786050748),2023-12-30 09:35:08.000,,,,,,,,,,,,38,
44.0,57.0536,44.270457118271004,POINT (711996.9289244075 5432927.236933685),2023-12-30 09:35:07.000,,,,,,,,,,,,39,
45.0,57.0431,45.38582347673724,POINT (711995.8914752257 5432927.646496023),2023-12-30 09:35:07.000,,,,,,,,,,,,40,
46.0,57.0758,46.44991873462844,POINT (711994.914503012 5432928.068187867),2023-12-30 09:35:06.000,,,,,,,,,,,,41,
47.0,57.0525,47.457468158899836,POINT (711994.0109403409 5432928.513979682),2023-12-30 09:35:06.000,,,,,,,,,,,,42,
48.0,57.0978,48.482997999062015,POINT (711993.0987193463 5432928.982556581),2023-12-30 09:35:05.000,,,,,,,,,,,,43,
50.0,57.0837,49.522795173337414,POINT (711992.1480668527 5432929.403790482),2023-12-30 09:35:04.000,,,,,,,,,,,,44,
51.0,57.080349999999996,50.9900831182366,POINT (711990.835819504 5432930.059956396),2023-12-30 09:35:03.500,-41.227293899817695,-72.47077382420582,56.572403,0.11675256,1838232.9,6.0,0.0015618731,8388608.0,0.0,57.080349999999996,50.9900831182366,45,4.70894321169775
52.0,57.0946,52.34538809186424,POINT (711989.6046210954 5432930.626408084),2023-12-30 09:35:03.000,,,,,,,,,,,,46,
53.0,57.1227,53.21635465095518,POINT (711988.8068504054 5432930.975900106),2023-12-30 09:35:03.000,,,,,,,,,,,,47,
54.0,57.0995,54.11790045755058,POINT (711987.9619176162 5432931.290341552),2023-12-30 09:35:02.000,,,,,,,,,,,,48,
55.0,57.1114,55.01403112597726,POINT (711987.1070318666 5432931.559080329),2023-12-30 09:35:02.000,,,,,,,,,,,,49,
56.0,57.114,55.901374837364365,POINT (711986.2568465907 5432931.813174522),2023-12-30 09:35:01.000,,,,,,,,,,,,50,
