rounded_cumulative_distance,Height(m),cumulative_distance,geometry,Datetime,latitude,longitude,height,water_frac,coherent_power,classification,missed_detection_rate,geolocation_qual,index_right,nearest_GNSS_height,nearest_GNSS_dist,nearest_index,distance_to_nearest,height_detrended
15709.0,31.6721,15709.052225362822,POINT (717037.1102100457 5423325.358741509),2024-01-10 19:09:38.000,-41.31234694220613,-72.40717568715047,31.476257,0.3974905,32101372.0,4.0,2.6587435e-05,0.0,0.0,31.6721,15709.052225362822,14781,0.3658344129081773,21.18528746282086
15686.0,31.6668,15685.625935322032,POINT (717030.6674281196 5423302.839556147),2024-01-10 19:09:51.000,-41.31255463553999,-72.40720246076847,31.454432,0.3686917,25378196.0,3.0,2.6180225e-05,0.0,0.0,31.6668,15685.625935322032,14758,3.9032697048618537,21.178808979830315
15639.0,31.5999,15639.20579417819,POINT (717009.5294807367 5423263.176794237),2024-01-10 19:10:27.500,-41.31266523712733,-72.40780726259811,31.512726,3.7080567,319891360.0,4.0,2.54983e-05,0.0,0.0,31.5999,15639.20579417819,14711,38.52555274645084,21.26751272394279
15582.0,31.59623333333333,15581.99504483978,POINT (716984.7670919001 5423238.510170103),2024-01-10 19:51:02.000,-41.313081945499086,-72.40786804652168,31.462063,0.48633716,27836966.0,4.0,2.3874873e-05,1.0,0.0,31.59623333333333,15581.99504483978,14654,10.397587519136357,21.254328374480995
15561.0,31.50595,15560.81551534744,POINT (716966.8362915227 5423227.537949282),2024-01-10 19:51:26.500,-41.31329747191608,-72.4079376462625,31.39229,0.56958956,29656190.0,3.0,2.3565624e-05,1.0,0.0,31.50595,15560.81551534744,14633,6.8674974551943775,21.198430043028186
15539.0,31.4766,15538.91622628785,POINT (716947.406975316 5423217.450628589),2024-01-10 19:51:42.000,-41.31299056582637,-72.40847735064398,31.51003,0.45872337,45708412.0,4.0,2.6700642e-05,1.0,0.0,31.4766,15538.91622628785,14611,44.95176723245294,21.330516224666965
15520.0,31.4566,15519.81875112141,POINT (716930.8482308297 5423207.942561802),2024-01-10 19:51:53.000,-41.31321367417903,-72.4085884086968,31.393982,1.7265164,130668000.0,4.0,2.5064805e-05,1.0,0.0,31.4566,15519.81875112141,14592,28.68334191814405,21.226978943477718
15436.0,31.312,15435.528871049924,POINT (716865.2072058914 5423155.496933457),2024-01-10 19:52:32.000,-41.313766763827296,-72.40939497222485,31.2544,0.73910266,40043228.0,4.0,2.682378e-05,0.0,0.0,31.312,15435.528871049924,14514,25.472107515814056,21.1426150798531
15392.0,31.25855,15391.994590209746,POINT (716835.6496050009 5423123.58943077),2024-01-10 19:52:53.500,-41.314198916166845,-72.40954018390397,31.112358,0.9740232,37341070.0,3.0,3.1251573e-05,1.0,0.0,31.25855,15391.994590209746,14473,3.0717892033351086,21.029092302497606
15356.0,31.2419,15355.993021927376,POINT (716814.1246718813 5423094.8023480605),2024-01-10 19:53:13.000,-41.31431419522124,-72.41017065495163,31.157331,0.651632,22407432.0,4.0,3.3558168e-05,0.0,0.0,31.2419,15355.993021927376,14437,39.17585642630777,21.09764985980695
